source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD013523-Sample-1	Homo sapiens	kidney	papillary renal cell carcinoma, healthy	19	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	tissue type (pRCC type I, pRCC type II, pRCC type IIM, healthy kidney)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	4.5 ppm	20 ppm	dithiothreitol	chloroacetamide	orbitrap	case1_kidney_typeIIM_1D.raw	v1.1.0	HAMLET-agentic v0.1.0	papillary renal cell carcinoma, healthy
PXD013523-Sample-2	Homo sapiens	kidney	papillary renal cell carcinoma, healthy	19	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	tissue type (pRCC type I, pRCC type II, pRCC type IIM, healthy kidney)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	4.5 ppm	20 ppm	dithiothreitol	chloroacetamide	orbitrap	case1_kidney_typeIIM_SCX_2.raw	v1.1.0	HAMLET-agentic v0.1.0	papillary renal cell carcinoma, healthy
PXD013523-Sample-3	Homo sapiens	kidney	papillary renal cell carcinoma, healthy	19	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	tissue type (pRCC type I, pRCC type II, pRCC type IIM, healthy kidney)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	4.5 ppm	20 ppm	dithiothreitol	chloroacetamide	orbitrap	case1_kidney_typeII_SCX_3.raw	v1.1.0	HAMLET-agentic v0.1.0	papillary renal cell carcinoma, healthy
PXD013523-Sample-4	Homo sapiens	kidney	papillary renal cell carcinoma, healthy	19	not available	not available	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	tissue type (pRCC type I, pRCC type II, pRCC type IIM, healthy kidney)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	4.5 ppm	20 ppm	dithiothreitol	chloroacetamide	orbitrap	case1_kidney_typeI_1D.raw	v1.1.0	HAMLET-agentic v0.1.0	papillary renal cell carcinoma, healthy
PXD013523-Sample-5	Homo sapiens	kidney	papillary renal cell carcinoma, healthy	19	not available	not available	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	tissue type (pRCC type I, pRCC type II, pRCC type IIM, healthy kidney)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	4.5 ppm	20 ppm	dithiothreitol	chloroacetamide	orbitrap	case1_pRCC_typeII_1D.raw	v1.1.0	HAMLET-agentic v0.1.0	papillary renal cell carcinoma, healthy
PXD013523-Sample-6	Homo sapiens	kidney	papillary renal cell carcinoma, healthy	19	not available	not available	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	tissue type (pRCC type I, pRCC type II, pRCC type IIM, healthy kidney)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	4.5 ppm	20 ppm	dithiothreitol	chloroacetamide	orbitrap	case1_pRCC_typeII_SCX_2.raw	v1.1.0	HAMLET-agentic v0.1.0	papillary renal cell carcinoma, healthy
PXD013523-Sample-7	Homo sapiens	kidney	papillary renal cell carcinoma, healthy	19	not available	not available	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	tissue type (pRCC type I, pRCC type II, pRCC type IIM, healthy kidney)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	4.5 ppm	20 ppm	dithiothreitol	chloroacetamide	orbitrap	case1_pRCC_typeII_SCX_X.raw	v1.1.0	HAMLET-agentic v0.1.0	papillary renal cell carcinoma, healthy
PXD013523-Sample-8	Homo sapiens	kidney	papillary renal cell carcinoma, healthy	19	not available	not available	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	tissue type (pRCC type I, pRCC type II, pRCC type IIM, healthy kidney)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	4.5 ppm	20 ppm	dithiothreitol	chloroacetamide	orbitrap	case1_pRCC_typeI_SCX_X.raw	v1.1.0	HAMLET-agentic v0.1.0	papillary renal cell carcinoma, healthy
PXD013523-Sample-9	Homo sapiens	kidney	papillary renal cell carcinoma, healthy	19	not available	not available	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	tissue type (pRCC type I, pRCC type II, pRCC type IIM, healthy kidney)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	4.5 ppm	20 ppm	dithiothreitol	chloroacetamide	orbitrap	case2_kidney_typeIIM_1D.raw	v1.1.0	HAMLET-agentic v0.1.0	papillary renal cell carcinoma, healthy
PXD013523-Sample-10	Homo sapiens	kidney	papillary renal cell carcinoma, healthy	19	not available	not available	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	tissue type (pRCC type I, pRCC type II, pRCC type IIM, healthy kidney)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	4.5 ppm	20 ppm	dithiothreitol	chloroacetamide	orbitrap	case2_kidney_typeI_SCX_2.raw	v1.1.0	HAMLET-agentic v0.1.0	papillary renal cell carcinoma, healthy
