Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[developmental stage]	Characteristics[disease]	Characteristics[ancestry category]	Characteristics[age]	Characteristics[sex]	Characteristics[treatment]	Characteristics[cell type]	Characteristics[cell line]	Characteristics[biological replicate]	Characteristics[synthetic peptide]	assay name	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[fractionation method]	comment[label]	comment[cleavage agent details]	comment[ms2 mass analyzer]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Material Type	factor value[cell line]	factor value[treatment]	sampleChecksum	sampleAccession
PXD015957-Sample 1	Homo sapiens	not applicable	not available	metastatic melanoma tumor	not available	53Y	male	IFNy	not available	12T	1	not synthetic	run 1	12T_IFN1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD015957/12T_IFN1.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT= Q Exactive Plus;AC=MS:1002634	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	cell	12T	IFNy	d0b896a82d17a39e48165ba8eacfe9bab824630d1f210797fac2f92b9ab16453	SAMEA7714800
PXD015957-Sample 2	Homo sapiens	not applicable	not available	metastatic melanoma tumor	not available	53Y	male	IFNy	not available	12T	2	not synthetic	run 2	12T_IFN2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD015957/12T_IFN2.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT= Q Exactive Plus;AC=MS:1002634	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	cell	12T	IFNy	746d04414ccf63c09c7430f4d5edf309c386e689e64c535a46aa3ba2645cf65e	SAMEA7714801
PXD015957-Sample 3	Homo sapiens	not applicable	not available	metastatic melanoma tumor	not available	53Y	male	IFNy	not available	12T	3	not synthetic	run 3	12T_IFN3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD015957/12T_IFN3.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT= Q Exactive Plus;AC=MS:1002634	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	cell	12T	IFNy	ab614672350f9899df7e741757fea3d48f1661f51387c2600d090d826761d663	SAMEA7714802
PXD015957-Sample 4	Homo sapiens	not applicable	not available	metastatic melanoma tumor	not available	53Y	male	control	not available	12T	1	not synthetic	run 4	12T_NT1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD015957/12T_NT1.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT= Q Exactive Plus;AC=MS:1002634	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	cell	12T	control	bd4021b852e827f91cc2b57ecd6876a01ccd9523dbbaab0fd3fd426687b4af30	SAMEA7714803
PXD015957-Sample 5	Homo sapiens	not applicable	not available	metastatic melanoma tumor	not available	53Y	male	control	not available	12T	2	not synthetic	run 5	12T_NT2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD015957/12T_NT2.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT= Q Exactive Plus;AC=MS:1002634	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	cell	12T	control	63850bbdc8b1c8660200fec7bf11e9b99876268509031f8560df8d64bc6f5f68	SAMEA7714804
PXD015957-Sample 6	Homo sapiens	not applicable	not available	metastatic melanoma tumor	not available	53Y	male	control	not available	12T	3	not synthetic	run 6	12T_NT3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD015957/12T_NT3.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT= Q Exactive Plus;AC=MS:1002634	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	cell	12T	control	bbc5678efc75436a07e7d354855b4652b3b132e0ffb19392dd9b007562a1fff5	SAMEA7714805
PXD015957-Sample 7	Homo sapiens	not applicable	not available	metastatic melanoma tumor	not available	53Y	male	vector control	not available	12T	1	not synthetic	run 7	12T_EV1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD015957/12T_EV1.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT= Q Exactive Plus;AC=MS:1002634	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	cell	12T	vector control	5d6a539ba70299fdf259cd2dbad18eee31b13177b2cd50b402dfb2859c66d674	SAMEA7714806
PXD015957-Sample 8	Homo sapiens	not applicable	not available	metastatic melanoma tumor	not available	53Y	male	vector control	not available	12T	2	not synthetic	run 8	12T_EV2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD015957/12T_EV2.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT= Q Exactive Plus;AC=MS:1002634	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	cell	12T	vector control	45ed9fe80070341db7bab04d722349317bb5315e0afc40e6e40d4c63175ff06d	SAMEA7714807
PXD015957-Sample 9	Homo sapiens	not applicable	not available	metastatic melanoma tumor	not available	53Y	male	vector control	not available	12T	3	not synthetic	run 9	12T_EV3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD015957/12T_EV3.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT= Q Exactive Plus;AC=MS:1002634	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	cell	12T	vector control	9017ea58d4c6798414ec0d04b5cb7403131ca4d38e8eddb44d0efd47f822c06a	SAMEA7714808
PXD015957-Sample 10	Homo sapiens	not applicable	not available	metastatic melanoma tumor	not available	53Y	male	overexpressed both PSMB8 and PSMB9	not available	12T	1	not synthetic	run 10	12T_OE1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD015957/12T_OE1.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT= Q Exactive Plus;AC=MS:1002634	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	cell	12T	overexpressed both PSMB8 and PSMB9	be36298c502dc0ab2f85505d3763418f63072231c936f08cc8f6ecf9ddfd55d4	SAMEA7714809
