source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD009630-Sample-1	Homo sapiens	lymph node	malignant melanoma	melanocytes	111	not available	62.4 ± 13.7 (25–89) years	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	survival (short, intermediate, long), BRAF status (wild type, V600E, V600A, V600K), tumor cell content	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	0.02 Da	orbitrap	151106_MM_21_02.raw	v1.1.0	HAMLET-agentic v0.1.0	malignant melanoma
PXD009630-Sample-2	Homo sapiens	lymph node	malignant melanoma	melanocytes	111	not available	62.4 ± 13.7 (25–89) years	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	survival (short, intermediate, long), BRAF status (wild type, V600E, V600A, V600K), tumor cell content	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	0.02 Da	orbitrap	151106_MM_56_03.raw	v1.1.0	HAMLET-agentic v0.1.0	malignant melanoma
PXD009630-Sample-3	Homo sapiens	lymph node	malignant melanoma	melanocytes	111	not available	62.4 ± 13.7 (25–89) years	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	survival (short, intermediate, long), BRAF status (wild type, V600E, V600A, V600K), tumor cell content	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	0.02 Da	orbitrap	151215_MM_74_02.raw	v1.1.0	HAMLET-agentic v0.1.0	malignant melanoma
PXD009630-Sample-4	Homo sapiens	lymph node	malignant melanoma	melanocytes	111	not available	62.4 ± 13.7 (25–89) years	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	survival (short, intermediate, long), BRAF status (wild type, V600E, V600A, V600K), tumor cell content	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	0.02 Da	orbitrap	151215_MM_78_02.raw	v1.1.0	HAMLET-agentic v0.1.0	malignant melanoma
PXD009630-Sample-5	Homo sapiens	lymph node	malignant melanoma	melanocytes	111	not available	62.4 ± 13.7 (25–89) years	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	survival (short, intermediate, long), BRAF status (wild type, V600E, V600A, V600K), tumor cell content	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	0.02 Da	orbitrap	151215_MM_79_02.raw	v1.1.0	HAMLET-agentic v0.1.0	malignant melanoma
PXD009630-Sample-6	Homo sapiens	lymph node	malignant melanoma	melanocytes	111	not available	62.4 ± 13.7 (25–89) years	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	survival (short, intermediate, long), BRAF status (wild type, V600E, V600A, V600K), tumor cell content	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	0.02 Da	orbitrap	151215_MM_81_02.raw	v1.1.0	HAMLET-agentic v0.1.0	malignant melanoma
PXD009630-Sample-7	Homo sapiens	lymph node	malignant melanoma	melanocytes	111	not available	62.4 ± 13.7 (25–89) years	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	survival (short, intermediate, long), BRAF status (wild type, V600E, V600A, V600K), tumor cell content	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	0.02 Da	orbitrap	160617_MM7_03.raw	v1.1.0	HAMLET-agentic v0.1.0	malignant melanoma
PXD009630-Sample-8	Homo sapiens	lymph node	malignant melanoma	melanocytes	111	not available	62.4 ± 13.7 (25–89) years	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	survival (short, intermediate, long), BRAF status (wild type, V600E, V600A, V600K), tumor cell content	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	0.02 Da	orbitrap	160617_MM82_03.raw	v1.1.0	HAMLET-agentic v0.1.0	malignant melanoma
PXD009630-Sample-9	Homo sapiens	lymph node	malignant melanoma	melanocytes	111	not available	62.4 ± 13.7 (25–89) years	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	survival (short, intermediate, long), BRAF status (wild type, V600E, V600A, V600K), tumor cell content	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	0.02 Da	orbitrap	160617_MM98_02.raw	v1.1.0	HAMLET-agentic v0.1.0	malignant melanoma
PXD009630-Sample-10	Homo sapiens	lymph node	malignant melanoma	melanocytes	111	not available	62.4 ± 13.7 (25–89) years	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	survival (short, intermediate, long), BRAF status (wild type, V600E, V600A, V600K), tumor cell content	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	0.02 Da	orbitrap	160622_MM58_03.raw	v1.1.0	HAMLET-agentic v0.1.0	malignant melanoma
