source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD002029-Sample-1	Homo sapiens	colon mucosa	normal	2	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	preservation method (DF, RNAlater, iFFPE, sFFPE)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	10 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	Colon_ParticipantA_DF_1.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD002029-Sample-2	Homo sapiens	colon mucosa	normal	2	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	preservation method (DF, RNAlater, iFFPE, sFFPE)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	10 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	Colon_ParticipantA_DF_2.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD002029-Sample-3	Homo sapiens	colon mucosa	normal	2	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	preservation method (DF, RNAlater, iFFPE, sFFPE)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	10 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	Colon_ParticipantA_DF_3.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD002029-Sample-4	Homo sapiens	colon mucosa	normal	2	not available	not available	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	preservation method (DF, RNAlater, iFFPE, sFFPE)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	10 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	Colon_ParticipantA_RNAlater_1.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD002029-Sample-5	Homo sapiens	colon mucosa	normal	2	not available	not available	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	preservation method (DF, RNAlater, iFFPE, sFFPE)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	10 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	Colon_ParticipantA_RNAlater_3.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD002029-Sample-6	Homo sapiens	colon mucosa	normal	2	not available	not available	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	preservation method (DF, RNAlater, iFFPE, sFFPE)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	10 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	Colon_ParticipantA_iFFPE_1.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD002029-Sample-7	Homo sapiens	colon mucosa	normal	2	not available	not available	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	preservation method (DF, RNAlater, iFFPE, sFFPE)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	10 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	Colon_ParticipantA_iFFPE_2.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD002029-Sample-8	Homo sapiens	colon mucosa	normal	2	not available	not available	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	preservation method (DF, RNAlater, iFFPE, sFFPE)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	10 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	Colon_ParticipantA_iFFPE_3.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD002029-Sample-9	Homo sapiens	colon mucosa	normal	2	not available	not available	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	preservation method (DF, RNAlater, iFFPE, sFFPE)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	10 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	Colon_ParticipantA_sFFPE_1.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD002029-Sample-10	Homo sapiens	colon mucosa	normal	2	not available	not available	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	preservation method (DF, RNAlater, iFFPE, sFFPE)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	10 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	Colon_ParticipantA_sFFPE_2.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
