pxd	data_file	category	field	assessed_value	gold_value	normalized_assessed_value	normalized_gold_value	status	match_method	similarity
PXD013523	case1_kidney_typeI_1D.raw	Biological	characteristics[age]		pT3a		pt3a	gold_only	unmatched	0.000000
PXD013523	case1_kidney_typeI_1D.raw	Biological	characteristics[age]		68Y		68y	gold_only	unmatched	0.000000
PXD013523	case1_kidney_typeI_1D.raw	Biological	characteristics[disease]	papillary renal cell carcinoma, healthy		papillary renal cell carcinoma healthy		assessed_only	unmatched	0.000000
PXD013523	case1_kidney_typeI_1D.raw	Biological	characteristics[disease]		normal		normal	gold_only	unmatched	0.000000
PXD013523	case1_kidney_typeI_1D.raw	Biological	characteristics[organism part]	kidney	kidney	kidney	kidney	matched	exact_normalized	1.000000
PXD013523	case1_kidney_typeI_1D.raw	Biological	characteristics[organism]	homo sapiens	Homo sapiens	homo sapiens	homo sapiens	matched	exact_normalized	1.000000
PXD013523	case1_kidney_typeI_1D.raw	Biological	characteristics[sex]		Male		male	gold_only	unmatched	0.000000
PXD013523	case1_kidney_typeI_1D.raw	Technical	comment[cleavage agent details]		NT=Trypsin;AC=MS:1001251		cv:ms:1001251	gold_only	unmatched	0.000000
PXD013523	case1_kidney_typeI_1D.raw	Technical	comment[dissociation method]	NT=beam-type collision-induced dissociation;AC=MS:1000422		cv:ms:1000422		assessed_only	unmatched	0.000000
PXD013523	case1_kidney_typeI_1D.raw	Technical	comment[fragment mass tolerance]	17 ppm		17 ppm		assessed_only	unmatched	0.000000
PXD013523	case1_kidney_typeI_1D.raw	Technical	comment[fragment mass tolerance]		20 ppm		20 ppm	gold_only	unmatched	0.000000
PXD013523	case1_kidney_typeI_1D.raw	Technical	comment[instrument]	Q Exactive HF	NT=Q Exactive HF;AC=MS:1002535	q exactive hf	cv:ms:1002535	matched	exact_normalized	1.000000
PXD013523	case1_kidney_typeI_1D.raw	Technical	comment[label]	label free sample	AC=MS:1002038;NT=label free sample	label free sample	cv:ms:1002038	matched	exact_normalized	1.000000
PXD013523	case1_kidney_typeI_1D.raw	Technical	comment[ms2 mass analyzer]	orbitrap		orbitrap		assessed_only	unmatched	0.000000
PXD013523	case1_kidney_typeI_1D.raw	Technical	comment[precursor mass tolerance]	6 ppm		6 ppm		assessed_only	unmatched	0.000000
PXD013523	case1_kidney_typeI_1D.raw	Technical	comment[precursor mass tolerance]		4.5 ppm		4.5 ppm	gold_only	unmatched	0.000000
PXD013523	case1_kidney_typeI_1D.raw	Technical	comment[proteomics data acquisition method]	data-dependent acquisition		data-dependent acquisition		assessed_only	unmatched	0.000000
PXD013523	case1_kidney_typeI_1D.raw	Technical	technology type	proteomic profiling by mass spectrometry		proteomic profiling by mass spectrometry		assessed_only	unmatched	0.000000
PXD013523	case1_kidney_typeI_1D.raw	ExperimentalDesign	characteristics[biological replicate]	19		19		assessed_only	unmatched	0.000000
PXD013523	case1_kidney_typeI_1D.raw	ExperimentalDesign	characteristics[biological replicate]		1		1	gold_only	unmatched	0.000000
PXD013523	case1_kidney_typeI_1D.raw	ExperimentalDesign	comment[fraction identifier]	1	1	1	1	matched	exact_normalized	1.000000
PXD013523	case1_kidney_typeI_1D.raw	ExperimentalDesign	comment[technical replicate]	1		1		assessed_only	unmatched	0.000000
PXD013523	case1_kidney_typeI_1D.raw	ExperimentalDesign	factor value[disease]	papillary renal cell carcinoma, healthy		papillary renal cell carcinoma healthy		assessed_only	unmatched	0.000000
PXD013523	case1_kidney_typeI_1D.raw	ExperimentalDesign	factor value[experimental design]	condition (pRCC type I, pRCC type II, pRCC type IIM, healthy kidney tissue)		condition prcc type i prcc type ii prcc type iim healthy kidney tissue		assessed_only	unmatched	0.000000
PXD013523	case1_kidney_typeII_SCX_3.raw	Biological	characteristics[age]		pT3b		pt3b	gold_only	unmatched	0.000000
PXD013523	case1_kidney_typeII_SCX_3.raw	Biological	characteristics[age]		54Y		54y	gold_only	unmatched	0.000000
PXD013523	case1_kidney_typeII_SCX_3.raw	Biological	characteristics[disease]	papillary renal cell carcinoma, healthy		papillary renal cell carcinoma healthy		assessed_only	unmatched	0.000000
PXD013523	case1_kidney_typeII_SCX_3.raw	Biological	characteristics[disease]		normal		normal	gold_only	unmatched	0.000000
